"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2000",28249.377533,
"AUS","GDP","TOT","USD_CAP","A","2001",29474.974238,
"AUS","GDP","TOT","USD_CAP","A","2002",30740.962903,
"AUS","GDP","TOT","USD_CAP","A","2003",32245.447585,
"AUS","GDP","TOT","USD_CAP","A","2004",33856.852355,
"AUS","GDP","TOT","USD_CAP","A","2005",35570.808015,
"AUS","GDP","TOT","USD_CAP","A","2006",37844.782088,
"AUS","GDP","TOT","USD_CAP","A","2007",39597.743117,
"AUS","GDP","TOT","USD_CAP","A","2008",40094.833205,
"AUS","GDP","TOT","USD_CAP","A","2009",41615.326657,
"AUS","GDP","TOT","USD_CAP","A","2010",42787.358539,
"AUS","GDP","TOT","USD_CAP","A","2011",44419.309749,
"AUS","GDP","TOT","USD_CAP","A","2012",43879.180355,
"AUS","GDP","TOT","USD_CAP","A","2013",47761.21406,
"AUS","GDP","TOT","USD_CAP","A","2014",47644.762792,
"AUS","GDP","TOT","USD_CAP","A","2015",47304.816745,
"AUS","GDP","TOT","USD_CAP","A","2016",50284.172793,
"AUS","GDP","TOT","USD_CAP","A","2017",51297.139196,
"AUS","GDP","TOT","USD_CAP","A","2018",53700.680893,
"AUS","GDP","TOT","USD_CAP","A","2019",55961.855719,"E"
"AUT","GDP","TOT","USD_CAP","A","2000",29387.013559,
"AUT","GDP","TOT","USD_CAP","A","2001",29715.497031,
"AUT","GDP","TOT","USD_CAP","A","2002",31178.051444,
"AUT","GDP","TOT","USD_CAP","A","2003",32121.714513,
"AUT","GDP","TOT","USD_CAP","A","2004",33753.625012,
"AUT","GDP","TOT","USD_CAP","A","2005",35024.557484,
"AUT","GDP","TOT","USD_CAP","A","2006",37619.892106,
"AUT","GDP","TOT","USD_CAP","A","2007",39391.07903,
"AUT","GDP","TOT","USD_CAP","A","2008",41316.022642,
"AUT","GDP","TOT","USD_CAP","A","2009",40966.523911,
"AUT","GDP","TOT","USD_CAP","A","2010",42049.248693,
"AUT","GDP","TOT","USD_CAP","A","2011",44469.209642,
"AUT","GDP","TOT","USD_CAP","A","2012",46477.655075,
"AUT","GDP","TOT","USD_CAP","A","2013",47936.677963,
"AUT","GDP","TOT","USD_CAP","A","2014",48813.534409,
"AUT","GDP","TOT","USD_CAP","A","2015",49955.456118,
"AUT","GDP","TOT","USD_CAP","A","2016",52659.767807,
"AUT","GDP","TOT","USD_CAP","A","2017",54511.590833,
"AUT","GDP","TOT","USD_CAP","A","2018",56837.722049,
"AUT","GDP","TOT","USD_CAP","A","2019",58942.642414,
"BEL","GDP","TOT","USD_CAP","A","2000",27795.115531,
"BEL","GDP","TOT","USD_CAP","A","2001",28800.312688,
"BEL","GDP","TOT","USD_CAP","A","2002",30282.254116,
"BEL","GDP","TOT","USD_CAP","A","2003",30899.178668,
"BEL","GDP","TOT","USD_CAP","A","2004",32034.127911,
"BEL","GDP","TOT","USD_CAP","A","2005",33177.947339,
"BEL","GDP","TOT","USD_CAP","A","2006",35216.526865,
"BEL","GDP","TOT","USD_CAP","A","2007",36752.96852,
"BEL","GDP","TOT","USD_CAP","A","2008",37883.233422,
"BEL","GDP","TOT","USD_CAP","A","2009",37785.827791,
"BEL","GDP","TOT","USD_CAP","A","2010",39866.668935,
"BEL","GDP","TOT","USD_CAP","A","2011",40942.230717,
"BEL","GDP","TOT","USD_CAP","A","2012",42290.858433,
"BEL","GDP","TOT","USD_CAP","A","2013",43671.146878,
"BEL","GDP","TOT","USD_CAP","A","2014",44929.532494,
"BEL","GDP","TOT","USD_CAP","A","2015",46213.262388,
"BEL","GDP","TOT","USD_CAP","A","2016",48592.578279,
"BEL","GDP","TOT","USD_CAP","A","2017",50615.176524,
"BEL","GDP","TOT","USD_CAP","A","2018",52350.274336,
"BEL","GDP","TOT","USD_CAP","A","2019",54897.744954,
"CAN","GDP","TOT","USD_CAP","A","2000",29363.642463,
"CAN","GDP","TOT","USD_CAP","A","2001",30214.480583,
"CAN","GDP","TOT","USD_CAP","A","2002",30963.222007,
"CAN","GDP","TOT","USD_CAP","A","2003",32333.575435,
"CAN","GDP","TOT","USD_CAP","A","2004",33911.261378,
"CAN","GDP","TOT","USD_CAP","A","2005",36327.662059,
"CAN","GDP","TOT","USD_CAP","A","2006",38106.959546,
"CAN","GDP","TOT","USD_CAP","A","2007",39554.852119,
"CAN","GDP","TOT","USD_CAP","A","2008",40376.330167,
"CAN","GDP","TOT","USD_CAP","A","2009",38893.179137,
"CAN","GDP","TOT","USD_CAP","A","2010",40113.526984,
"CAN","GDP","TOT","USD_CAP","A","2011",41666.718851,
"CAN","GDP","TOT","USD_CAP","A","2012",42290.879082,
"CAN","GDP","TOT","USD_CAP","A","2013",44298.514462,
"CAN","GDP","TOT","USD_CAP","A","2014",45753.782936,
"CAN","GDP","TOT","USD_CAP","A","2015",44671.409504,
"CAN","GDP","TOT","USD_CAP","A","2016",46480.50132,
"CAN","GDP","TOT","USD_CAP","A","2017",48633.836154,
"CAN","GDP","TOT","USD_CAP","A","2018",50077.786708,
"CAN","GDP","TOT","USD_CAP","A","2019",51341.714241,
"CZE","GDP","TOT","USD_CAP","A","2000",16213.990192,
"CZE","GDP","TOT","USD_CAP","A","2001",17615.512624,
"CZE","GDP","TOT","USD_CAP","A","2002",18245.669005,
"CZE","GDP","TOT","USD_CAP","A","2003",19502.090571,
"CZE","GDP","TOT","USD_CAP","A","2004",20892.976457,
"CZE","GDP","TOT","USD_CAP","A","2005",22045.99888,
"CZE","GDP","TOT","USD_CAP","A","2006",23830.282546,
"CZE","GDP","TOT","USD_CAP","A","2007",26194.379725,
"CZE","GDP","TOT","USD_CAP","A","2008",27853.549898,
"CZE","GDP","TOT","USD_CAP","A","2009",27662.268934,
"CZE","GDP","TOT","USD_CAP","A","2010",27786.968594,
"CZE","GDP","TOT","USD_CAP","A","2011",28999.754757,
"CZE","GDP","TOT","USD_CAP","A","2012",29258.904853,
"CZE","GDP","TOT","USD_CAP","A","2013",30828.526409,
"CZE","GDP","TOT","USD_CAP","A","2014",32504.217576,
"CZE","GDP","TOT","USD_CAP","A","2015",33918.407402,
"CZE","GDP","TOT","USD_CAP","A","2016",36097.639052,
"CZE","GDP","TOT","USD_CAP","A","2017",38991.629903,
"CZE","GDP","TOT","USD_CAP","A","2018",41049.345804,
"CZE","GDP","TOT","USD_CAP","A","2019",43301.123753,
"DNK","GDP","TOT","USD_CAP","A","2000",28677.542094,
"DNK","GDP","TOT","USD_CAP","A","2001",29459.707962,
"DNK","GDP","TOT","USD_CAP","A","2002",30639.953691,
"DNK","GDP","TOT","USD_CAP","A","2003",30790.003955,
"DNK","GDP","TOT","USD_CAP","A","2004",32918.107721,
"DNK","GDP","TOT","USD_CAP","A","2005",34152.881663,
"DNK","GDP","TOT","USD_CAP","A","2006",37291.225966,
