"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHDEBT","TOT","PC_NDI","A","2000",125.2092,
"AUS","HHDEBT","TOT","PC_NDI","A","2001",130.5223,
"AUS","HHDEBT","TOT","PC_NDI","A","2002",150.0406,
"AUS","HHDEBT","TOT","PC_NDI","A","2003",161.5096,
"AUS","HHDEBT","TOT","PC_NDI","A","2004",171.8057,
"AUS","HHDEBT","TOT","PC_NDI","A","2005",181.8293,
"AUS","HHDEBT","TOT","PC_NDI","A","2006",186.9583,
"AUS","HHDEBT","TOT","PC_NDI","A","2007",189.7027,
"AUS","HHDEBT","TOT","PC_NDI","A","2008",183.4667,
"AUS","HHDEBT","TOT","PC_NDI","A","2009",189.4346,
"AUS","HHDEBT","TOT","PC_NDI","A","2010",187.3372,
"AUS","HHDEBT","TOT","PC_NDI","A","2011",185.9569,
"AUS","HHDEBT","TOT","PC_NDI","A","2012",187.2603,
"AUS","HHDEBT","TOT","PC_NDI","A","2013",187.7718,
"AUS","HHDEBT","TOT","PC_NDI","A","2014",191.8578,
"AUS","HHDEBT","TOT","PC_NDI","A","2015",199.3722,
"AUS","HHDEBT","TOT","PC_NDI","A","2016",207.3164,
"AUS","HHDEBT","TOT","PC_NDI","A","2017",213.4635,
"AUS","HHDEBT","TOT","PC_NDI","A","2018",217.2554,
"AUT","HHDEBT","TOT","PC_NDI","A","2000",75.41841,
"AUT","HHDEBT","TOT","PC_NDI","A","2001",77.01186,
"AUT","HHDEBT","TOT","PC_NDI","A","2002",78.95232,
"AUT","HHDEBT","TOT","PC_NDI","A","2003",79.08277,
"AUT","HHDEBT","TOT","PC_NDI","A","2004",81.19778,
"AUT","HHDEBT","TOT","PC_NDI","A","2005",87.18607,
"AUT","HHDEBT","TOT","PC_NDI","A","2006",88.55872,
"AUT","HHDEBT","TOT","PC_NDI","A","2007",88.36625,
"AUT","HHDEBT","TOT","PC_NDI","A","2008",89.79839,
"AUT","HHDEBT","TOT","PC_NDI","A","2009",90.11239,
"AUT","HHDEBT","TOT","PC_NDI","A","2010",93.71614,
"AUT","HHDEBT","TOT","PC_NDI","A","2011",93.2784,
"AUT","HHDEBT","TOT","PC_NDI","A","2012",91.04684,
"AUT","HHDEBT","TOT","PC_NDI","A","2013",90.82967,
"AUT","HHDEBT","TOT","PC_NDI","A","2014",90.48386,
"AUT","HHDEBT","TOT","PC_NDI","A","2015",92.05358,
"AUT","HHDEBT","TOT","PC_NDI","A","2016",92.12938,
"AUT","HHDEBT","TOT","PC_NDI","A","2017",90.92339,
"AUT","HHDEBT","TOT","PC_NDI","A","2018",90.42094,
"BEL","HHDEBT","TOT","PC_NDI","A","2000",71.44542,
"BEL","HHDEBT","TOT","PC_NDI","A","2001",67.32359,
"BEL","HHDEBT","TOT","PC_NDI","A","2002",68.94025,
"BEL","HHDEBT","TOT","PC_NDI","A","2003",70.9725,
"BEL","HHDEBT","TOT","PC_NDI","A","2004",75.30257,
"BEL","HHDEBT","TOT","PC_NDI","A","2005",80.51897,
"BEL","HHDEBT","TOT","PC_NDI","A","2006",84.01609,
"BEL","HHDEBT","TOT","PC_NDI","A","2007",87.73544,
"BEL","HHDEBT","TOT","PC_NDI","A","2008",90.04877,
"BEL","HHDEBT","TOT","PC_NDI","A","2009",92.82834,
"BEL","HHDEBT","TOT","PC_NDI","A","2010",97.41507,
"BEL","HHDEBT","TOT","PC_NDI","A","2011",102.6412,
"BEL","HHDEBT","TOT","PC_NDI","A","2012",103.0443,
"BEL","HHDEBT","TOT","PC_NDI","A","2013",104.7668,
"BEL","HHDEBT","TOT","PC_NDI","A","2014",109.2393,
"BEL","HHDEBT","TOT","PC_NDI","A","2015",111.6695,
"BEL","HHDEBT","TOT","PC_NDI","A","2016",112.5323,
"BEL","HHDEBT","TOT","PC_NDI","A","2017",113.5038,
"BEL","HHDEBT","TOT","PC_NDI","A","2018",114.9683,
"CZE","HHDEBT","TOT","PC_NDI","A","2000",21.66288,
"CZE","HHDEBT","TOT","PC_NDI","A","2001",22.12086,
"CZE","HHDEBT","TOT","PC_NDI","A","2002",26.89737,
"CZE","HHDEBT","TOT","PC_NDI","A","2003",29.09673,
"CZE","HHDEBT","TOT","PC_NDI","A","2004",33.93189,
"CZE","HHDEBT","TOT","PC_NDI","A","2005",39.08971,
"CZE","HHDEBT","TOT","PC_NDI","A","2006",43.46153,
"CZE","HHDEBT","TOT","PC_NDI","A","2007",53.1948,
"CZE","HHDEBT","TOT","PC_NDI","A","2008",59.53843,
"CZE","HHDEBT","TOT","PC_NDI","A","2009",61.83718,
"CZE","HHDEBT","TOT","PC_NDI","A","2010",63.59326,
"CZE","HHDEBT","TOT","PC_NDI","A","2011",66.5231,
"CZE","HHDEBT","TOT","PC_NDI","A","2012",67.46433,
"CZE","HHDEBT","TOT","PC_NDI","A","2013",70.85363,
"CZE","HHDEBT","TOT","PC_NDI","A","2014",69.60333,
"CZE","HHDEBT","TOT","PC_NDI","A","2015",70.63539,
"CZE","HHDEBT","TOT","PC_NDI","A","2016",72.70351,
"CZE","HHDEBT","TOT","PC_NDI","A","2017",76.57607,
"CZE","HHDEBT","TOT","PC_NDI","A","2018",75.81116,
"CZE","HHDEBT","TOT","PC_NDI","A","2019",76.26929,
"DNK","HHDEBT","TOT","PC_NDI","A","2000",232.1425,
"DNK","HHDEBT","TOT","PC_NDI","A","2001",236.7646,
"DNK","HHDEBT","TOT","PC_NDI","A","2002",242.52,
"DNK","HHDEBT","TOT","PC_NDI","A","2003",247.9129,
"DNK","HHDEBT","TOT","PC_NDI","A","2004",261.5377,
"DNK","HHDEBT","TOT","PC_NDI","A","2005",281.7372,
"DNK","HHDEBT","TOT","PC_NDI","A","2006",299.3419,
"DNK","HHDEBT","TOT","PC_NDI","A","2007",324.6386,
"DNK","HHDEBT","TOT","PC_NDI","A","2008",339.7779,
"DNK","HHDEBT","TOT","PC_NDI","A","2009",339.7609,
"DNK","HHDEBT","TOT","PC_NDI","A","2010",326.155,
"DNK","HHDEBT","TOT","PC_NDI","A","2011",319.9125,
"DNK","HHDEBT","TOT","PC_NDI","A","2012",314.2155,
"DNK","HHDEBT","TOT","PC_NDI","A","2013",305.8037,
"DNK","HHDEBT","TOT","PC_NDI","A","2014",305.774,
"DNK","HHDEBT","TOT","PC_NDI","A","2015",293.0566,
"DNK","HHDEBT","TOT","PC_NDI","A","2016",265.6999,
"DNK","HHDEBT","TOT","PC_NDI","A","2017",263.9375,
"DNK","HHDEBT","TOT","PC_NDI","A","2018",256.0896,
"FIN","HHDEBT","TOT","PC_NDI","A","2000",67.60523,
"FIN","HHDEBT","TOT","PC_NDI","A","2001",69.73502,
"FIN","HHDEBT","TOT","PC_NDI","A","2002",74.28116,
"FIN","HHDEBT","TOT","PC_NDI","A","2003",78.52108,
"FIN","HHDEBT","TOT","PC_NDI","A","2004",86.56316,
"FIN","HHDEBT","TOT","PC_NDI","A","2005",96.914,
"FIN","HHDEBT","TOT","PC_NDI","A","2006",107.05,
"FIN","HHDEBT","TOT","PC_NDI","A","2007",111.8986,
